attendance,is_holiday,is_school_holiday,is_weekend,attendance_lag1,attendance_ma7
20420,0,0,0,,
29110,0,0,1,20420.0,
23727,0,0,1,29110.0,
15115,0,0,0,23727.0,
16373,0,0,0,15115.0,
15831,0,0,0,16373.0,
16587,0,0,0,15831.0,19594.714285714286
16434,0,0,0,16587.0,19025.285714285714
25776,0,0,1,16434.0,18549.0
34376,0,0,1,25776.0,20070.285714285714
20253,0,0,0,34376.0,20804.285714285714
18715,0,0,0,20253.0,21138.85714285714
21217,0,0,0,18715.0,21908.285714285714
22656,0,0,0,21217.0,22775.285714285714
24449,0,0,0,22656.0,23920.285714285714
28194,0,0,1,24449.0,24265.714285714286
25786,0,0,1,28194.0,23038.571428571428
16283,0,0,0,25786.0,22471.428571428572
19780,0,0,0,16283.0,22623.571428571428
20334,0,0,0,19780.0,22497.428571428572
21564,0,0,0,20334.0,22341.428571428572
19632,0,0,0,21564.0,21653.285714285714
33975,0,0,1,19632.0,22479.14285714286
31151,0,0,1,33975.0,23245.571428571428
24384,0,0,0,31151.0,24402.85714285714
25977,0,0,0,24384.0,25288.14285714286
27053,0,0,0,25977.0,26248.0
27260,0,0,0,27053.0,27061.714285714286
32666,0,0,0,27260.0,28923.714285714286
36005,0,1,1,32666.0,29213.714285714286
28878,0,1,1,36005.0,28889.0
22008,0,1,0,28878.0,28549.571428571428
24406,0,1,0,22008.0,28325.14285714286
25517,0,1,0,24406.0,28105.714285714286
25058,0,1,0,25517.0,27791.14285714286
22756,0,1,0,25058.0,26375.428571428572
33899,0,1,1,22756.0,26074.571428571428
27247,0,1,1,33899.0,25841.571428571428
21876,0,1,0,27247.0,25822.714285714286
24157,0,1,0,21876.0,25787.14285714286
24193,0,1,0,24157.0,25598.0
24531,0,1,0,24193.0,25522.714285714286
19013,0,1,0,24531.0,24988.0
25567,0,1,1,19013.0,23797.714285714286
20521,0,1,1,25567.0,22836.85714285714
19965,0,1,0,20521.0,22563.85714285714
24192,0,1,0,19965.0,22568.85714285714
27635,0,1,0,24192.0,23060.571428571428
25259,0,1,0,27635.0,23164.571428571428
20637,0,1,0,25259.0,23396.571428571428
28007,0,1,1,20637.0,23745.14285714286
26290,0,1,1,28007.0,24569.285714285714
24870,0,1,0,26290.0,25270.0
27505,0,1,0,24870.0,25743.285714285714
27395,0,1,0,27505.0,25709.0
24784,0,1,0,27395.0,25641.14285714286
22053,0,1,0,24784.0,25843.428571428572
28300,0,1,1,22053.0,25885.285714285714
27015,0,1,1,28300.0,25988.85714285714
24944,0,1,0,27015.0,25999.428571428572
27348,0,1,0,24944.0,25977.0
27324,0,1,0,27348.0,25966.85714285714
26237,0,1,0,27324.0,26174.428571428572
21264,0,1,0,26237.0,26061.714285714286
22662,0,1,1,21264.0,25256.285714285714
22506,0,1,1,22662.0,24612.14285714286
24097,0,1,0,22506.0,24491.14285714286
26392,0,1,0,24097.0,24354.571428571428
34996,0,1,0,26392.0,25450.571428571428
26732,0,1,0,34996.0,25521.285714285714
27670,0,1,0,26732.0,26436.428571428572
25711,0,1,1,27670.0,26872.0
24767,0,1,1,25711.0,27195.0
20968,0,0,0,24767.0,26748.0
29767,0,0,0,20968.0,27230.14285714286
27179,0,0,0,29767.0,26113.428571428572
27594,0,0,0,27179.0,26236.571428571428
26386,0,0,0,27594.0,26053.14285714286
29636,0,0,1,26386.0,26613.85714285714
28419,0,0,1,29636.0,27135.571428571428
26799,0,0,0,28419.0,27968.571428571428
29424,0,0,0,26799.0,27919.571428571428
30712,0,0,0,29424.0,28424.285714285714
40414,0,0,0,30712.0,30255.714285714286
27742,0,0,0,40414.0,30449.428571428572
27469,0,0,1,27742.0,30139.85714285714
30153,0,0,1,27469.0,30387.571428571428
27201,0,0,0,30153.0,30445.0
31576,0,0,0,27201.0,30752.428571428572
23412,0,0,0,31576.0,29709.571428571428
30287,0,0,0,23412.0,28262.85714285714
26951,0,0,0,30287.0,28149.85714285714
30008,0,0,1,26951.0,28512.571428571428
23627,0,0,1,30008.0,27580.285714285714
14719,0,0,0,23627.0,25797.14285714286
18247,0,0,0,14719.0,23893.0
19544,0,0,0,18247.0,23340.428571428572
20105,0,0,0,19544.0,21885.85714285714
21130,0,0,0,20105.0,21054.285714285714
30496,0,0,1,21130.0,21124.0
26340,0,0,1,30496.0,21511.571428571428
14236,0,0,0,26340.0,21442.571428571428
15945,0,0,0,14236.0,21113.714285714286
16391,0,0,0,15945.0,20663.285714285714
14288,0,0,0,16391.0,19832.285714285714
14412,0,0,0,14288.0,18872.571428571428
42149,0,0,1,14412.0,20537.285714285714
26011,0,0,1,42149.0,20490.285714285714
10568,0,0,0,26011.0,19966.285714285714
11305,0,0,0,10568.0,19303.428571428572
12196,0,0,0,11305.0,18704.14285714286
12067,0,0,0,12196.0,18386.85714285714
11050,0,0,0,12067.0,17906.571428571428
35421,0,0,1,11050.0,16945.428571428572
21330,0,0,1,35421.0,16276.714285714286
11161,0,0,0,21330.0,16361.42857142857
11433,0,0,0,11161.0,16379.714285714286
12719,0,0,0,11433.0,16454.428571428572
15304,0,0,0,12719.0,16916.85714285714
19714,0,0,0,15304.0,18154.571428571428
28300,0,0,1,19714.0,17137.285714285714
25105,0,0,1,28300.0,17676.571428571428
8172,0,0,0,25105.0,17249.571428571428
10383,0,0,0,8172.0,17099.571428571428
11103,0,0,0,10383.0,16868.714285714286
12121,0,0,0,11103.0,16414.0
13714,0,0,0,12121.0,15556.857142857143
23658,0,0,1,13714.0,14893.714285714286
21031,0,0,1,23658.0,14311.714285714286
11204,0,0,0,21031.0,14744.857142857143
12974,0,0,0,11204.0,15115.0
14379,0,0,0,12974.0,15583.0
12822,0,0,0,14379.0,15683.142857142857
13815,0,0,0,12822.0,15697.57142857143
27233,0,1,1,13815.0,16208.285714285714
23647,0,1,1,27233.0,16582.0
14814,0,1,0,23647.0,17097.714285714286
15673,0,1,0,14814.0,17483.285714285714
17331,0,1,0,15673.0,17905.0
14929,0,1,0,17331.0,18206.0
15564,0,1,0,14929.0,18455.85714285714
27914,0,1,1,15564.0,18553.14285714286
31694,0,1,1,27914.0,19702.714285714286
26060,0,0,0,31694.0,21309.285714285714
28831,0,0,0,26060.0,23189.0
27632,0,0,0,28831.0,24660.571428571428
29638,0,0,0,27632.0,26761.85714285714
24904,0,0,0,29638.0,28096.14285714286
24313,0,0,1,24904.0,27581.714285714286
25885,0,0,1,24313.0,26751.85714285714
23079,0,0,0,25885.0,26326.0
20945,0,0,0,23079.0,25199.428571428572
22122,0,0,0,20945.0,24412.285714285714
25114,0,0,0,22122.0,23766.0
38046,0,0,0,25114.0,25643.428571428572
34205,0,0,1,38046.0,27056.571428571428
22866,0,0,1,34205.0,26625.285714285714
12025,0,0,0,22866.0,25046.14285714286
9495,0,0,0,12025.0,23410.428571428572
8894,0,0,0,9495.0,21520.714285714286
10176,0,0,0,8894.0,19386.714285714286
12763,0,0,0,10176.0,15774.857142857143
22865,0,0,1,12763.0,14154.857142857143
21278,0,0,1,22865.0,13928.0
13238,0,0,0,21278.0,14101.285714285714
15158,0,0,0,13238.0,14910.285714285714
15398,0,0,0,15158.0,15839.42857142857
14876,0,0,0,15398.0,16510.85714285714
16604,0,0,0,14876.0,17059.571428571428
27609,0,0,1,16604.0,17737.285714285714
29855,0,0,1,27609.0,18962.571428571428
14969,0,0,0,29855.0,19209.85714285714
11227,0,0,0,14969.0,18648.285714285714
12143,0,0,0,11227.0,18183.285714285714
14842,0,0,0,12143.0,18178.428571428572
25477,0,0,0,14842.0,19446.0
27126,0,0,1,25477.0,19377.0
28085,0,0,1,27126.0,19124.14285714286
14828,0,0,0,28085.0,19104.0
12839,0,0,0,14828.0,19334.285714285714
12647,0,0,0,12839.0,19406.285714285714
12392,0,0,0,12647.0,19056.285714285714
33582,0,0,0,12392.0,20214.14285714286
28341,0,0,1,33582.0,20387.714285714286
29158,0,0,1,28341.0,20541.0
18368,0,0,0,29158.0,21046.714285714286
16029,0,0,0,18368.0,21502.428571428572
14945,0,0,0,16029.0,21830.714285714286
15078,0,0,0,14945.0,22214.428571428572
34572,0,0,0,15078.0,22355.85714285714
28094,0,0,1,34572.0,22320.571428571428
23052,0,0,1,28094.0,21448.285714285714
17549,0,0,0,23052.0,21331.285714285714
16475,0,0,0,17549.0,21395.0
16637,0,0,0,16475.0,21636.714285714286
15230,0,0,0,16637.0,21658.428571428572
36638,0,0,0,15230.0,21953.571428571428
26995,0,0,1,36638.0,21796.571428571428
29128,0,0,1,26995.0,22664.571428571428
18714,0,0,0,29128.0,22831.0
16687,0,0,0,18714.0,22861.285714285714
17071,0,0,0,16687.0,22923.285714285714
16825,0,0,0,17071.0,23151.14285714286
17630,0,0,0,16825.0,20435.714285714286
30445,0,1,1,17630.0,20928.571428571428
30653,0,1,1,30445.0,21146.428571428572
24823,0,1,0,30653.0,22019.14285714286
32324,1,1,0,24823.0,24253.0
26218,1,1,0,32324.0,25559.714285714286
33540,0,1,0,26218.0,27947.571428571428
34595,0,1,0,33540.0,30371.14285714286
33212,0,1,1,34595.0,30766.428571428572
33488,0,1,1,33212.0,31171.428571428572
35366,0,1,0,33488.0,32677.571428571428
30185,1,1,0,35366.0,32372.0
30794,0,1,0,30185.0,33025.71428571428
36425,0,0,0,30794.0,33437.857142857145
35268,0,0,0,36425.0,33534.0
40953,0,0,1,35268.0,34639.857142857145
31550,0,0,1,40953.0,34363.0
13100,0,0,0,31550.0,31182.14285714286
10054,0,0,0,13100.0,28306.285714285714
8010,0,0,0,10054.0,25051.428571428572
9241,0,0,0,8010.0,21168.0
8744,0,0,0,9241.0,17378.85714285714
26445,0,0,1,8744.0,15306.285714285714
25281,0,0,1,26445.0,14410.714285714286
11402,0,0,0,25281.0,14168.142857142857
9306,0,0,0,11402.0,14061.285714285714
8598,0,0,0,9306.0,14145.285714285714
7910,0,0,0,8598.0,13955.142857142857
8501,0,0,0,7910.0,13920.42857142857
22443,0,0,1,8501.0,13348.714285714286
22914,0,0,1,22443.0,13010.57142857143
10004,0,0,0,22914.0,12810.857142857143
5607,0,0,0,10004.0,12282.42857142857
5620,0,0,0,5607.0,11857.0
6587,0,0,0,5620.0,11668.0
8172,0,0,0,6587.0,11621.0
24104,0,0,1,8172.0,11858.285714285714
21154,0,0,1,24104.0,11606.857142857143
9569,0,0,0,21154.0,11544.714285714286
8353,0,0,0,9569.0,11937.0
5320,0,0,0,8353.0,11894.142857142857
6662,0,0,0,5320.0,11904.857142857143
8546,0,0,0,6662.0,11958.285714285714
21401,0,0,1,8546.0,11572.142857142857
24964,0,0,1,21401.0,12116.42857142857
12537,0,0,0,24964.0,12540.42857142857
11987,0,0,0,12537.0,13059.57142857143
10451,0,0,0,11987.0,13792.57142857143
10639,0,0,0,10451.0,14360.714285714286
12803,0,0,0,10639.0,14968.857142857143
30800,0,1,1,12803.0,16311.57142857143
22302,0,1,1,30800.0,15931.285714285714
19710,0,1,0,22302.0,16956.0
20744,0,1,0,19710.0,18207.0
20358,0,1,0,20744.0,19622.285714285714
22690,0,1,0,20358.0,21343.85714285714
20318,0,1,0,22690.0,22417.428571428572
33346,0,1,1,20318.0,22781.14285714286
35937,0,1,1,33346.0,24729.0
24419,0,0,0,35937.0,25401.714285714286
24265,0,0,0,24419.0,25904.714285714286
23594,0,0,0,24265.0,26367.0
25873,0,0,0,23594.0,26821.714285714286
23905,0,0,0,25873.0,27334.14285714286
32161,0,0,1,23905.0,27164.85714285714
28351,0,0,1,32161.0,26081.14285714286
23854,0,0,0,28351.0,26000.428571428572
23952,0,0,0,23854.0,25955.714285714286
23866,0,0,0,23952.0,25994.571428571428
20833,0,0,0,23866.0,25274.571428571428
22033,0,0,0,20833.0,25007.14285714286
30464,0,0,1,22033.0,24764.714285714286
27126,0,0,1,30464.0,24589.714285714286
23137,0,0,0,27126.0,24487.285714285714
23046,0,0,0,23137.0,24357.85714285714
21736,0,0,0,23046.0,24053.571428571428
27210,0,0,0,21736.0,24964.571428571428
32421,0,0,0,27210.0,26448.571428571428
36128,0,0,1,32421.0,27257.714285714286
26656,0,0,1,36128.0,27190.571428571428
20176,0,0,0,26656.0,26767.571428571428
16760,0,0,0,20176.0,25869.571428571428
16199,0,0,0,16760.0,25078.571428571428
13418,0,0,0,16199.0,23108.285714285714
19214,0,0,0,13418.0,21221.571428571428
44052,0,0,1,19214.0,22353.571428571428
32486,0,0,1,44052.0,23186.428571428572
18409,0,0,0,32486.0,22934.0
18162,0,0,0,18409.0,23134.285714285714
16913,0,0,0,18162.0,23236.285714285714
17800,0,0,0,16913.0,23862.285714285714
20010,0,0,0,17800.0,23976.0
43208,0,0,1,20010.0,23855.428571428572
35371,0,0,1,43208.0,24267.571428571428
20676,0,0,0,35371.0,24591.428571428572
19266,0,0,0,20676.0,24749.14285714286
16127,0,0,0,19266.0,24636.85714285714
18897,0,0,0,16127.0,24793.571428571428
20509,0,0,0,18897.0,24864.85714285714
42832,0,0,1,20509.0,24811.14285714286
37985,0,0,1,42832.0,25184.571428571428
19046,0,0,0,37985.0,24951.714285714286
14682,0,0,0,19046.0,24296.85714285714
15617,0,0,0,14682.0,24224.0
17249,0,0,0,15617.0,23988.571428571428
18304,0,0,0,17249.0,23673.571428571428
25844,0,0,1,18304.0,21246.714285714286
26638,0,0,1,25844.0,19625.714285714286
25333,0,0,0,26638.0,20523.85714285714
27137,0,0,0,25333.0,22303.14285714286
26453,0,0,0,27137.0,23851.14285714286
29058,0,0,0,26453.0,25538.14285714286
25203,0,0,0,29058.0,26523.714285714286
26675,0,1,1,25203.0,26642.428571428572
26704,0,1,1,26675.0,26651.85714285714
27820,0,1,0,26704.0,27007.14285714286
28610,0,1,0,27820.0,27217.571428571428
31484,0,1,0,28610.0,27936.285714285714
31736,1,1,0,31484.0,28318.85714285714
28761,1,1,0,31736.0,28827.14285714286
29016,0,1,1,28761.0,29161.571428571428
31438,1,1,1,29016.0,29837.85714285714
26182,1,1,0,31438.0,29603.85714285714
29818,0,0,0,26182.0,29776.428571428572
27831,0,0,0,29818.0,29254.571428571428
27069,0,0,0,27831.0,28587.85714285714
25954,0,0,0,27069.0,28186.85714285714
24141,0,0,1,25954.0,27490.428571428572
22564,0,0,1,24141.0,26222.714285714286
22858,0,0,0,22564.0,25747.85714285714
26522,0,0,0,22858.0,25277.0
28775,0,0,0,26522.0,25411.85714285714
22565,0,0,0,28775.0,24768.428571428572
23177,0,0,0,22565.0,24371.714285714286
21568,0,0,1,23177.0,24004.14285714286
19525,0,0,1,21568.0,23570.0
12689,0,0,0,19525.0,22117.285714285714
15558,0,0,0,12689.0,20551.0
15126,0,0,0,15558.0,18601.14285714286
14597,0,0,0,15126.0,17462.85714285714
15472,0,0,0,14597.0,16362.142857142857
20618,0,0,1,15472.0,16226.42857142857
24618,0,0,1,20618.0,16954.0
14243,0,0,0,24618.0,17176.0
16693,0,0,0,14243.0,17338.14285714286
16458,0,0,0,16693.0,17528.428571428572
17592,0,0,0,16458.0,17956.285714285714
17934,1,0,0,17592.0,18308.0
27403,0,0,1,17934.0,19277.285714285714
22959,0,0,1,27403.0,19040.285714285714
15946,0,0,0,22959.0,19283.571428571428
14910,0,0,0,15946.0,19028.85714285714
16124,0,0,0,14910.0,18981.14285714286
17461,0,0,0,16124.0,18962.428571428572
18598,0,0,0,17461.0,19057.285714285714
26572,0,0,1,18598.0,18938.571428571428
23306,0,0,1,26572.0,18988.14285714286
17386,0,0,0,23306.0,19193.85714285714
18194,0,0,0,17386.0,19663.0
24873,0,0,0,18194.0,20912.85714285714
30446,1,0,0,24873.0,22767.85714285714
38512,0,0,0,30446.0,25612.714285714286
36127,0,0,1,38512.0,26977.714285714286
21881,0,0,1,36127.0,26774.14285714286
15919,0,0,0,21881.0,26564.571428571428
17342,0,0,0,15919.0,26442.85714285714
16902,0,0,0,17342.0,25304.14285714286
20424,0,0,0,16902.0,23872.428571428572
17995,0,0,0,20424.0,20941.428571428572
26420,0,0,1,17995.0,19554.714285714286
34799,1,0,1,26420.0,21400.14285714286
23975,1,0,0,34799.0,22551.0
20247,0,0,0,23975.0,22966.0
18957,0,0,0,20247.0,23259.571428571428
21733,0,0,0,18957.0,23446.571428571428
20039,0,0,0,21733.0,23738.571428571428
31729,0,0,1,20039.0,24497.0
26428,0,0,1,31729.0,23301.14285714286
16327,0,0,0,26428.0,22208.571428571428
19827,0,0,0,16327.0,22148.571428571428
17618,0,0,0,19827.0,21957.285714285714
19718,0,0,0,17618.0,21669.428571428572
21964,0,0,0,19718.0,21944.428571428572
27569,0,0,1,21964.0,21350.14285714286
26706,0,0,1,27569.0,21389.85714285714
21355,0,0,0,26706.0,22108.14285714286
22642,0,0,0,21355.0,22510.285714285714
23376,0,0,0,22642.0,23332.85714285714
23735,0,0,0,23376.0,23906.714285714286
22203,0,0,0,23735.0,23940.85714285714
23397,0,1,1,22203.0,23344.85714285714
25214,0,1,1,23397.0,23131.714285714286
21377,0,1,0,25214.0,23134.85714285714
23861,0,1,0,21377.0,23309.0
23598,0,1,0,23861.0,23340.714285714286
24038,0,1,0,23598.0,23384.0
26295,0,1,0,24038.0,23968.571428571428
28897,0,1,1,26295.0,24754.285714285714
30812,0,1,1,28897.0,25554.0
21582,0,1,0,30812.0,25583.285714285714
23854,0,1,0,21582.0,25582.285714285714
23009,0,1,0,23854.0,25498.14285714286
24221,0,1,0,23009.0,25524.285714285714
26532,0,1,0,24221.0,25558.14285714286
24084,0,1,1,26532.0,24870.571428571428
24505,0,1,1,24084.0,23969.571428571428
20312,0,1,0,24505.0,23788.14285714286
25125,0,1,0,20312.0,23969.714285714286
25212,0,1,0,25125.0,24284.428571428572
25531,0,1,0,25212.0,24471.571428571428
21068,0,1,0,25531.0,23691.0
25441,0,1,1,21068.0,23884.85714285714
25367,0,1,1,25441.0,24008.0
22110,0,1,0,25367.0,24264.85714285714
22422,0,1,0,22110.0,23878.714285714286
21185,0,1,0,22422.0,23303.428571428572
17743,0,1,0,21185.0,22190.85714285714
21942,0,1,0,17743.0,22315.714285714286
22341,0,1,1,21942.0,21872.85714285714
27256,0,1,1,22341.0,22142.714285714286
23190,0,1,0,27256.0,22297.0
24572,0,1,0,23190.0,22604.14285714286
25835,0,1,0,24572.0,23268.428571428572
24746,0,1,0,25835.0,24268.85714285714
21951,0,1,0,24746.0,24270.14285714286
24499,0,1,1,21951.0,24578.428571428572
25071,0,1,1,24499.0,24266.285714285714
24633,0,1,0,25071.0,24472.428571428572
25705,0,1,0,24633.0,24634.285714285714
28196,0,1,0,25705.0,24971.571428571428
31266,0,1,0,28196.0,25903.0
21809,0,1,0,31266.0,25882.714285714286
27550,0,1,1,21809.0,26318.571428571428
26665,0,1,1,27550.0,26546.285714285714
24487,0,0,0,26665.0,26525.428571428572
34945,0,0,0,24487.0,27845.428571428572
28300,0,0,0,34945.0,27860.285714285714
25372,0,0,0,28300.0,27018.285714285714
28228,0,0,0,25372.0,27935.285714285714
23446,0,0,1,28228.0,27349.0
22605,0,0,1,23446.0,26769.0
27398,0,0,0,22605.0,27184.85714285714
30348,0,0,0,27398.0,26528.14285714286
29720,0,0,0,30348.0,26731.0
30193,0,0,0,29720.0,27419.714285714286
26513,0,0,0,30193.0,27174.714285714286
29930,0,0,1,26513.0,28101.0
28826,0,0,1,29930.0,28989.714285714286
24431,0,0,0,28826.0,28565.85714285714
25830,0,0,0,24431.0,27920.428571428572
25904,0,0,0,25830.0,27375.285714285714
27226,0,0,0,25904.0,26951.428571428572
23993,0,0,0,27226.0,26591.428571428572
29712,0,0,1,23993.0,26560.285714285714
30238,0,0,1,29712.0,26762.0
14956,0,0,0,30238.0,25408.428571428572
17467,0,0,0,14956.0,24213.714285714286
18189,0,0,0,17467.0,23111.571428571428
18157,0,0,0,18189.0,21816.0
17416,0,0,0,18157.0,20876.428571428572
25478,0,0,1,17416.0,20271.571428571428
24836,0,0,1,25478.0,19499.85714285714
13568,0,0,0,24836.0,19301.571428571428
14742,0,0,0,13568.0,18912.285714285714
15335,0,0,0,14742.0,18504.571428571428
15611,0,0,0,15335.0,18140.85714285714
16061,0,0,0,15611.0,17947.285714285714
32245,0,0,1,16061.0,18914.0
27907,0,0,1,32245.0,19352.714285714286
13777,0,0,0,27907.0,19382.571428571428
14516,0,0,0,13777.0,19350.285714285714
14593,0,0,0,14516.0,19244.285714285714
14105,0,0,0,14593.0,19029.14285714286
13497,0,0,0,14105.0,18662.85714285714
29791,0,0,1,13497.0,18312.285714285714
22055,0,0,1,29791.0,17476.285714285714
13146,0,0,0,22055.0,17386.14285714286
12018,0,0,0,13146.0,17029.285714285714
12133,0,0,0,12018.0,16677.85714285714
12541,0,0,0,12133.0,16454.428571428572
21367,0,0,0,12541.0,17578.714285714286
30136,0,0,1,21367.0,17628.0
22592,0,0,1,30136.0,17704.714285714286
11897,0,0,0,22592.0,17526.285714285714
9021,0,0,0,11897.0,17098.14285714286
10379,0,0,0,9021.0,16847.571428571428
12543,0,0,0,10379.0,16847.85714285714
14517,0,0,0,12543.0,15869.285714285714
22172,0,0,1,14517.0,14731.57142857143
21644,0,0,1,22172.0,14596.142857142857
13983,0,0,0,21644.0,14894.142857142857
12551,0,0,0,13983.0,15398.42857142857
12447,0,0,0,12551.0,15693.857142857143
15367,0,0,0,12447.0,16097.285714285714
15089,0,0,0,15367.0,16179.0
25437,0,1,1,15089.0,16645.428571428572
26996,0,1,1,25437.0,17410.0
14078,0,1,0,26996.0,17423.571428571428
16999,0,1,0,14078.0,18059.0
16064,0,1,0,16999.0,18575.714285714286
16653,0,1,0,16064.0,18759.428571428572
15673,0,1,0,16653.0,18842.85714285714
21027,0,1,1,15673.0,18212.85714285714
23318,0,1,1,21027.0,17687.428571428572
21499,0,0,0,23318.0,18747.571428571428
26172,0,0,0,21499.0,20058.0
27092,0,0,0,26172.0,21633.428571428572
24677,0,0,0,27092.0,22779.714285714286
21178,0,0,0,24677.0,23566.14285714286
26545,0,0,1,21178.0,24354.428571428572
21755,0,0,1,26545.0,24131.14285714286
23181,0,0,0,21755.0,24371.428571428572
24814,0,0,0,23181.0,24177.428571428572
24406,0,0,0,24814.0,23793.714285714286
23305,0,0,0,24406.0,23597.714285714286
24528,0,0,0,23305.0,24076.285714285714
28551,0,0,1,24528.0,24362.85714285714
23198,0,0,1,28551.0,24569.0
12344,0,0,0,23198.0,23020.85714285714
7817,0,0,0,12344.0,20592.714285714286
9466,0,0,0,7817.0,18458.428571428572
9256,0,0,0,9466.0,16451.428571428572
10890,0,0,0,9256.0,14503.142857142857
22275,0,0,1,10890.0,13606.57142857143
33352,0,0,1,22275.0,15057.142857142857
20394,0,0,0,33352.0,16207.142857142857
13364,0,0,0,20394.0,16999.571428571428
11515,0,0,0,13364.0,17292.285714285714
11693,0,0,0,11515.0,17640.428571428572
13316,0,0,0,11693.0,17987.0
25706,0,0,1,13316.0,18477.14285714286
27243,0,0,1,25706.0,17604.428571428572
13918,0,0,0,27243.0,16679.285714285714
14544,0,0,0,13918.0,16847.85714285714
13739,0,0,0,14544.0,17165.571428571428
14252,0,0,0,13739.0,17531.14285714286
33714,0,0,0,14252.0,20445.14285714286
26093,0,0,1,33714.0,20500.428571428572
27467,0,0,1,26093.0,20532.428571428572
14891,0,0,0,27467.0,20671.428571428572
12971,0,0,0,14891.0,20446.714285714286
11219,0,0,0,12971.0,20086.714285714286
12744,0,0,0,11219.0,19871.285714285714
35017,0,0,0,12744.0,20057.428571428572
25212,0,0,1,35017.0,19931.571428571428
23342,0,0,1,25212.0,19342.285714285714
15819,0,0,0,23342.0,19474.85714285714
13643,0,0,0,15819.0,19570.85714285714
13091,0,0,0,13643.0,19838.285714285714
13269,0,0,0,13091.0,19913.285714285714
30297,0,0,0,13269.0,19239.0
23121,0,0,1,30297.0,18940.285714285714
23181,0,0,1,23121.0,18917.285714285714
13225,0,0,0,23181.0,18546.714285714286
12862,0,0,0,13225.0,18435.14285714286
12114,0,0,0,12862.0,18295.571428571428
12148,0,0,0,12114.0,18135.428571428572
13851,0,0,0,12148.0,15786.0
24288,0,0,1,13851.0,15952.714285714286
25025,0,0,1,24288.0,16216.142857142857
15324,0,0,0,25025.0,16516.0
14415,0,0,0,15324.0,16737.85714285714
14106,0,0,0,14415.0,17022.428571428572
13967,0,0,0,14106.0,17282.285714285714
13447,0,0,0,13967.0,17224.571428571428
18729,0,1,1,13447.0,16430.428571428572
23657,0,1,1,18729.0,16235.0
23858,0,1,0,23657.0,17454.14285714286
19611,0,1,0,23858.0,18196.428571428572
27076,1,1,0,19611.0,20049.285714285714
27000,1,1,0,27076.0,21911.14285714286
30380,0,1,0,27000.0,24330.14285714286
33499,0,1,1,30380.0,26440.14285714286
32446,0,1,1,33499.0,27695.714285714286
34008,0,1,0,32446.0,29145.714285714286
31516,0,1,0,34008.0,30846.428571428572
25499,1,1,0,31516.0,30621.14285714286
28816,0,1,0,25499.0,30880.571428571428
31048,0,1,0,28816.0,30976.0
31952,0,1,1,31048.0,30755.0
24298,0,1,1,31952.0,29591.0
16966,0,0,0,24298.0,27156.428571428572
